,,,,,,,,,,,,,,,,,,,,,,,,,,Vcr using FEA,,,,,,,,,,,,,,Vcr using Formula,,,,,,,,,WITH TENSION  ACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vcr using FEA,,,Vcr using Formula,,,,Vcr using FEA,,,,Vcr using Formula,,,,,,,,,,,,,,,,,,,,,,
S.NO,SECTON,WEB OPENNG,Depth of Web opening(dwh/d1),dwh/2,d1,tw,tw(mm),rcl(mm),lip length (mm),"d1,d2(mm)",flange width(mm),"b1,b2(mm)",ri(mm),ro(mm),total depth D (mm),total length(mm)with aspect ratio-1,fyw,E,m,a/d,Vu FEM,Linear Buckling load(kN),dwh,dwh/d1,d1/tw,Aw,Vcr FEA,Vy,λv,Vv,c,c/tw,qs,Vnl(AS)FEA,Vnl FEA/Vnl(AS),Kss,Ksf,Kv,Vcr,vy,λv,Vv,c,c/tw,qsAS/NS,VnlWITHOUT TENSION FIELD,VnlFEA/V AS/NS,Vv,Vnl AS/NS,VnlF/Vnl AS/NS,Vv,VnlAS/NS EITH TENSION FEIEL,VnlF/Vnl AS/NS,Vcr(FEA),Vy,vv,qseq,Vcr(eq),Vy,Vv,qs,VNL,qsFEA=Vfea/Vv,VcrFEA/Vcr eq,qsfea/qs eq,qs pro,qsfea/qs pro,vnl pro,vnlFEA/vnl Pro,DSM pro,qs pro,Vnl Pro,vnlFEA/vnl Pro,qs fea/qs pro,Design Shear Resistance (VRd),Vcr,VU(FEA),Vnl DSM,VnlFEA/V AS/NS,Vnl with tension field,VnlFEA/V AS/NS,VN PRO
1,150x60x18x1.5,0,0,0,144,1.5,1.5,2.25,18,15,60,54,1.5,3,150,473,349.1066271,210000,0.3,1,39.14,13.37,0,0,96.00,216,6.68,45.24,2.60,19.59,72.00,48.00,0.89,17.41,2.25,9.34,12.6,10.09,44.83,45.24,1.00,36.71,72.00,48.00,0.89,32.63,1.20,19.59,17.41,2.25,38.34,34.08,1.15,6.68,45.24,19.59,Not Applicable=0,44.83,45.24,38.34,Not Applicable=0,38.40,1.02,0.15,#VALUE!,Not Applicable,#VALUE!,#VALUE!,#VALUE!,35.32,Not Applicable,#VALUE!,#VALUE!,#VALUE!,39.57958821,44.83481268,39.1409,32.62828998,1.199600102,34.08226685,1.148424199,35.31796306
,,0.2,28.8,14.4,144,1.5,1.5,2.25,18,15,60,54,1.5,3,150,473,349.1066271,210000,0.3,1,33.91,11.49,28.8,0.2,96.00,216,5.74,45.24,2.81,5.74,61.82,41.22,0.76,4.38,7.73,9.34,12.6,10.09,44.83,45.24,1.00,36.71,61.82,41.22,0.76,28.02,1.21,18.52,14.13,2.40,38.34,29.26,1.16,5.74,45.24,18.52,0.88,44.83,45.24,38.34,0.88,33.74,0.88,0.13,1.00,0.90,0.98,34.51,0.98,34.70,0.90,31.23,1.09,0.98,39.57958821,44.83481268,33.909,28.01651755,1.210321731,29.26498532,1.158688434,31.22967215
,,0.4,57.6,28.8,144,1.5,1.5,2.25,18,15,60,54,1.5,3,150,473,349.1066271,210000,0.3,1,24.41,5.55,57.6,0.4,96.00,216,2.77,45.24,4.04,2.77,51.65,34.43,0.64,1.77,13.81,9.34,12.6,10.09,44.83,45.24,1.00,36.71,51.65,34.43,0.64,23.40,1.04,14.08,8.98,2.72,38.34,24.45,1.00,2.77,45.24,14.08,0.69,44.83,45.24,38.34,0.69,26.40,0.64,0.06,0.92,0.69,0.93,26.34,0.93,31.87,0.69,21.90,1.11,0.93,39.57958821,44.83481268,24.4134,23.40474511,1.043096171,24.44770379,0.99859685,21.89623157
,,0.6,86.4,43.2,144,1.5,1.5,2.25,18,15,60,54,1.5,3,150,473,349.1066271,210000,0.3,1,16.23,3.96,86.4,0.6,96.00,216,1.98,45.24,4.78,1.98,41.47,27.65,0.51,1.01,16.00,9.34,12.6,10.09,44.83,45.24,1.00,36.71,41.47,27.65,0.51,18.79,0.86,12.39,6.34,2.56,38.34,19.63,0.83,1.98,45.24,12.39,0.43,44.83,45.24,38.34,0.43,16.31,0.42,0.04,1.00,0.46,0.92,17.56,0.92,30.64,0.46,14.04,1.16,0.92,39.57958821,44.83481268,16.2342,18.79297268,0.863844176,19.63042225,0.82699189,14.03536863
,,0.8,115.2,57.6,144,1.5,1.5,2.25,18,15,60,54,1.5,3,150,473,349.1066271,210000,0.3,1,9.91,29.69,115.2,0.8,96.00,216,14.85,45.24,1.75,14.85,31.29,20.86,0.39,5.74,1.73,9.34,12.6,10.09,44.83,45.24,1.00,36.71,31.29,20.86,0.39,14.18,0.70,26.19,10.12,0.98,38.34,14.81,0.67,14.85,45.24,26.19,0.16,44.83,45.24,38.34,0.16,6.22,0.26,0.33,1.59,0.23,1.13,8.78,1.13,38.76,0.23,8.88,1.12,1.13,39.57958821,44.83481268,9.90674,14.18120024,0.698582619,14.81314072,0.668780523,8.875582673
2,150x60x18x2,0,0,0,142,2,2,3,18,14,60,52,2,4,150,469,349.1066271,210000,0.3,1,55.59,478.88,0,0,71.00,284,239.44,59.49,0.50,59.49,71.00,35.50,0.66,39.11,1.42,9.34,12.6,10.09,107.77,59.49,0.74,59.49,71.00,35.50,0.66,39.11,1.42,59.49,39.11,1.42,61.10,40.16,1.38,239.44,59.49,76.65,Not Applicable,107.77,59.49,61.10,Not Applicable,61.10,0.91,2.22,#VALUE!,Not Applicable,#VALUE!,#VALUE!,#VALUE!,68.14,Not Applicable,#VALUE!,#VALUE!,#VALUE!,52.03982894,107.7719441,55.5945,39.10770016,1.421574262,40.1647402,1.384161823,68.13782115
,,0.2,28.4,14.2,142,2,2,3,18,14,60,52,2,4,150,469,349.1066271,210000,0.3,1,51.22,414.00,28.4,0.2,71.00,284,207.00,59.49,0.54,59.49,60.96,30.48,0.56,33.58,1.53,9.34,12.6,10.09,107.77,59.49,0.74,59.49,60.96,30.48,0.56,33.58,1.53,59.49,33.58,1.53,61.10,34.49,1.49,207.00,59.49,73.76,0.88,107.77,59.49,61.10,0.88,53.76,0.84,1.92,0.95,0.90,0.93,54.99,0.93,67.00,0.90,60.30,0.85,0.93,52.03982894,107.7719441,51.2173,33.58011003,1.525227283,34.48774512,1.485086944,60.30218751
,,0.4,56.8,28.4,142,2,2,3,18,14,60,52,2,4,150,469,349.1066271,210000,0.3,1,37.65,199.69,56.8,0.4,71.00,284,99.84,59.49,0.77,59.49,50.93,25.46,0.47,28.05,1.34,9.34,12.6,10.09,107.77,59.49,0.74,59.49,50.93,25.46,0.47,28.05,1.34,59.49,28.05,1.34,61.10,28.81,1.31,99.84,59.49,59.68,0.69,107.77,59.49,61.10,0.69,42.07,0.62,0.93,0.89,0.69,0.90,41.97,0.90,61.59,0.69,42.31,0.89,0.90,52.03982894,107.7719441,37.6513,28.0525199,1.34217176,28.81075004,1.306849004,42.31000522
,,0.6,85.2,42.6,142,2,2,3,18,14,60,52,2,4,150,469,349.1066271,210000,0.3,1,25.36,143.66,85.2,0.6,71.00,284,71.83,59.49,0.91,53.28,40.89,20.45,0.38,20.17,1.26,9.34,12.6,10.09,107.77,59.49,0.74,59.49,40.89,20.45,0.38,22.52,1.13,59.49,22.52,1.13,61.10,23.13,1.10,71.83,59.49,53.77,0.43,107.77,59.49,61.10,0.43,25.99,0.42,0.67,0.98,0.46,0.91,27.98,0.91,59.28,0.46,27.15,0.93,0.91,52.03982894,107.7719441,25.3629,22.52492977,1.125992412,23.13375496,1.096358981,27.15125769
,,0.8,113.6,56.8,142,2,2,3,18,14,60,52,2,4,150,469,349.1066271,210000,0.3,1,14.04,107.15,113.6,0.8,71.00,284,53.57,59.49,1.05,46.01,30.86,15.43,0.29,13.15,1.07,9.34,12.6,10.09,107.77,59.49,0.74,59.49,30.86,15.43,0.29,17.00,0.83,59.49,17.00,0.83,61.10,17.46,0.80,53.57,59.49,48.84,0.16,107.77,59.49,61.10,0.16,9.91,0.23,0.50,1.42,0.23,1.00,13.99,1.00,57.30,0.23,13.12,1.07,1.00,52.03982894,107.7719441,14.0419,16.99733965,0.826123399,17.45675987,0.804381804,13.12184073
3,150x60x18x2.5,0,0,0,140,2.5,2.5,3.75,18,13,60,50,2.5,5,150,465,349.1066271,210000,0.3,1,73.43,937.09,0,0,56.00,350,468.54,73.31,0.40,73.31,70.00,28.00,0.52,38.01,1.93,9.34,12.6,10.09,213.50,73.31,0.59,73.31,70.00,28.00,0.52,38.01,1.93,73.31,38.01,1.93,86.56,44.89,1.64,468.54,73.31,105.46,Not Applicable,213.50,73.31,86.56,Not Applicable,86.56,0.85,2.19,#VALUE!,Not Applicable,#VALUE!,#VALUE!,#VALUE!,73.31,Not Applicable,#VALUE!,#VALUE!,#VALUE!,64.133592,213.499108,73.4316,38.01383273,1.931707348,44.88535373,1.635981314,73.31239169
,,0.2,28,14,140,2.5,2.5,3.75,18,13,60,50,2.5,5,150,465,349.1066271,210000,0.3,1,67.10,814.83,28,0.2,56.00,350,407.41,73.31,0.42,73.31,60.11,24.04,0.45,32.64,2.06,9.34,12.6,10.09,213.50,73.31,0.59,73.31,60.11,24.04,0.45,32.64,2.06,73.31,32.64,2.06,86.56,38.54,1.74,407.41,73.31,102.22,0.88,213.50,73.31,86.56,0.88,76.18,0.78,1.91,0.88,0.90,0.86,77.91,0.86,73.31,0.90,65.98,1.02,0.86,64.133592,213.499108,67.1021,32.64085284,2.055770428,38.54113413,1.741051516,65.98115252
,,0.4,56,28,140,2.5,2.5,3.75,18,13,60,50,2.5,5,150,465,349.1066271,210000,0.3,1,52.08,396.33,56,0.4,56.00,350,198.17,73.31,0.61,73.31,50.21,20.08,0.37,27.27,1.91,9.34,12.6,10.09,213.50,73.31,0.59,73.31,50.21,20.08,0.37,27.27,1.91,73.31,27.27,1.91,86.56,32.20,1.62,198.17,73.31,84.76,0.69,213.50,73.31,86.56,0.69,59.61,0.60,0.93,0.87,0.69,0.88,59.47,0.88,73.31,0.69,50.37,1.03,0.88,64.133592,213.499108,52.0846,27.26787295,1.910108651,32.19691452,1.617689172,50.36561309
,,0.6,84,42,140,2.5,2.5,3.75,18,13,60,50,2.5,5,150,465,349.1066271,210000,0.3,1,34.31,281.60,84,0.6,56.00,350,140.80,73.31,0.72,73.31,40.32,16.13,0.30,21.89,1.57,9.34,12.6,10.09,213.50,73.31,0.59,73.31,40.32,16.13,0.30,21.89,1.57,73.31,21.89,1.57,86.56,25.85,1.33,140.80,73.31,76.64,0.43,213.50,73.31,86.56,0.43,36.82,0.40,0.66,0.93,0.46,0.87,39.65,0.87,73.31,0.46,33.58,1.02,0.87,64.133592,213.499108,34.3107,21.89489306,1.56706406,25.85269491,1.327161448,33.57707539
,,0.8,112,56,140,2.5,2.5,3.75,18,13,60,50,2.5,5,150,465,349.1066271,210000,0.3,1,20.27,211.31,112,0.8,56.00,350,105.66,73.31,0.83,71.73,30.42,12.17,0.23,16.17,1.25,9.34,12.6,10.09,213.50,73.31,0.59,73.31,30.42,12.17,0.23,16.52,1.23,73.31,16.52,1.23,86.56,19.51,1.04,105.66,73.31,70.12,0.16,213.50,73.31,86.56,0.16,14.04,0.23,0.49,1.44,0.23,1.02,19.82,1.02,73.31,0.23,16.79,1.21,1.02,64.133592,213.499108,20.2668,16.52191316,1.226661816,19.5084753,1.038871551,16.7885377
4,150x60x18x3,0,0,0,138,3,3,4.5,18,12,60,48,3,6,150,461,349.1066271,210000,0.3,1,91.0272,161.77,0,0,46.00,414,80.89,86.72,1.04,68.26,69.00,23.00,0.43,29.07,3.13,9.34,12.6,10.09,374.27,86.72,0.48,86.72,69.00,23.00,0.43,36.94,2.46,86.72,36.94,2.46,113.74,48.45,1.88,80.89,86.72,72.03,Not Applicable,374.27,86.72,113.74,Not Applicable,113.74,0.80,0.22,#VALUE!,Not Applicable,#VALUE!,#VALUE!,#VALUE!,86.72,Not Applicable,#VALUE!,#VALUE!,#VALUE!,75.8608774,374.2732189,91.0272,36.93548115,2.464492059,48.44581944,1.878948505,86.71808617
,,0.2,27.6,13.8,138,3,3,4.5,18,12,60,48,3,6,150,461,349.1066271,210000,0.3,1,83.467,1415.82,27.6,0.2,46.00,414,707.91,86.72,0.35,86.72,59.25,19.75,0.37,31.71,2.63,9.34,12.6,10.09,374.27,86.72,0.48,86.72,59.25,19.75,0.37,31.71,2.63,86.72,31.71,2.63,113.74,41.60,2.01,707.91,86.72,131.07,0.88,374.27,86.72,113.74,0.88,100.09,0.73,1.89,0.83,0.90,0.82,102.37,0.82,86.72,0.90,78.05,1.07,0.82,75.8608774,374.2732189,83.467,31.71491844,2.631789836,41.59835379,2.006497671,78.04627755
,,0.4,55.2,27.6,138,3,3,4.5,18,12,60,48,3,6,150,461,349.1066271,210000,0.3,1,66.5666,686.96,55.2,0.4,46.00,414,343.48,86.72,0.50,86.72,49.49,16.50,0.31,26.49,2.51,9.34,12.6,10.09,374.27,86.72,0.48,86.72,49.49,16.50,0.31,26.49,2.51,86.72,26.49,2.51,113.74,34.75,1.92,343.48,86.72,111.27,0.69,374.27,86.72,113.74,0.69,78.32,0.59,0.92,0.85,0.69,0.85,78.14,0.85,86.72,0.69,59.58,1.12,0.85,75.8608774,374.2732189,66.5666,26.49435573,2.512482306,34.75088815,1.915536654,59.5753252
,,0.6,82.8,41.4,138,3,3,4.5,18,12,60,48,3,6,150,461,349.1066271,210000,0.3,1,45.2838,489.89,82.8,0.6,46.00,414,244.95,86.72,0.60,86.72,39.74,13.25,0.25,21.27,2.13,9.34,12.6,10.09,374.27,86.72,0.48,86.72,39.74,13.25,0.25,21.27,2.13,86.72,21.27,2.13,113.74,27.90,1.62,244.95,86.72,101.52,0.43,374.27,86.72,113.74,0.43,48.39,0.40,0.65,0.94,0.46,0.87,52.09,0.87,86.72,0.46,39.72,1.14,0.87,75.8608774,374.2732189,45.2838,21.27379303,2.128618998,27.9034225,1.62287619,39.71688347
,,0.8,110.4,55.2,138,3,3,4.5,18,12,60,48,3,6,150,461,349.1066271,210000,0.3,1,25.7821,369.71,110.4,0.8,46.00,414,184.855,86.72,0.68,86.72,29.99,10.00,0.19,16.05,1.61,9.34,12.6,10.09,374.27,86.72,0.48,86.72,29.99,10.00,0.19,16.05,1.61,86.72,16.05,1.61,113.74,21.06,1.22,184.86,86.72,93.55,0.16,374.27,86.72,113.74,0.16,18.45,0.23,0.49,1.40,0.23,0.99,26.05,0.99,86.72,0.23,19.86,1.30,0.99,75.8608774,374.2732189,25.7821,16.05323032,1.60603813,21.05595686,1.224456346,19.85844173
5,200x65x20x1.5,0,0,0,194,1.5,1.5,2.25,20,17,65,59,1.5,3,200,573,349.1066271,210000,0.3,1,43.3239,147.39,0,0,129.33,291,73.6965,60.95,0.91,54.62,97.00,64.67,1,54.62,0.79,9.34,12.6,10.09,33.28,60.95,1.35,33.28,97.00,64.67,1,33.28,1.30,55.12,55.12,0.79,42.21,42.21,1.03,73.70,60.95,55.12,Not Applicable,33.28,60.95,42.21,Not Applicable,42.21,1.03,2.21,#VALUE!,Not Applicable,#VALUE!,#VALUE!,#VALUE!,61.55,Not Applicable,#VALUE!,#VALUE!,#VALUE!,53.32250078,33.27944859,43.3239,33.27944859,1.30182145,42.21468316,1.026275617,61.55103825
,,0.2,38.8,19.4,194,1.5,1.5,2.25,20,17,65,59,1.5,3,200,573,349.1066271,210000,0.3,1,40.3678,125.42,38.8,0.2,129.33,291,62.7075,60.95,0.99,50.39,83.29,55.53,1,50.39,0.80,9.34,12.6,10.09,33.28,60.95,1.35,33.28,83.29,55.53,1,33.28,1.21,52.30,52.30,0.77,42.21,42.21,0.96,62.71,60.95,52.30,0.88,33.28,60.95,42.21,0.88,37.15,0.96,1.88,1.09,0.90,1.06,37.99,1.06,60.39,0.90,54.35,0.74,1.06,53.32250078,33.27944859,40.3678,33.27944859,1.212994858,42.21468316,0.956250219,54.35389442
,,0.4,77.6,38.8,194,1.5,1.5,2.25,20,17,65,59,1.5,3,200,573,349.1066271,210000,0.3,1,28.1667,60.15,77.6,0.4,129.33,291,30.076,60.95,1.42,30.08,69.58,46.39,0.86,25.84,1.09,9.34,12.6,10.09,33.28,60.95,1.35,33.28,69.58,46.39,0.86,28.59,0.99,40.75,35.01,0.80,42.21,36.26,0.78,30.08,60.95,40.75,0.69,33.28,60.95,42.21,0.69,29.07,0.67,0.90,0.97,0.69,0.97,29.00,0.97,55.39,0.69,38.05,0.74,0.97,53.32250078,33.27944859,28.1667,28.58725394,0.98528876,36.26267618,0.776740797,38.0536475
,,0.6,116.4,58.2,194,1.5,1.5,2.25,20,17,65,59,1.5,3,200,573,349.1066271,210000,0.3,1,18.0585,42.66,116.4,0.6,129.33,291,21.33,60.95,1.69,21.33,55.87,37.25,0.69,14.71,1.23,9.34,12.6,10.09,33.28,60.95,1.35,33.28,55.87,37.25,0.69,22.95,0.79,36.10,24.90,0.73,42.21,29.12,0.62,21.33,60.95,36.10,0.43,33.28,60.95,42.21,0.43,17.96,0.43,0.64,1.01,0.46,0.93,19.33,0.93,53.19,0.46,24.36,0.74,0.93,53.32250078,33.27944859,18.0585,22.9542975,0.786715429,29.11732127,0.620197848,24.363162
,,0.8,155.2,77.6,194,1.5,1.5,2.25,20,17,65,59,1.5,3,200,573,349.1066271,210000,0.3,1,9.3011,31.84,155.2,0.8,129.33,291,15.92,60.95,1.96,15.92,42.16,28.11,0.52,8.29,1.12,9.34,12.6,10.09,33.28,60.95,1.35,33.28,42.16,28.11,0.52,17.32,0.54,32.50,16.92,0.55,42.21,21.97,0.42,15.92,60.95,32.50,0.16,33.28,60.95,42.21,0.16,6.85,0.22,0.48,1.36,0.23,0.96,9.67,0.96,51.39,0.23,11.77,0.79,0.96,53.32250078,33.27944859,9.3011,17.32134106,0.536973435,21.97196636,0.423316687,11.76897399
6,200x65x20x2,0,0,0,192,2,2,3,20,16,65,57,2,4,200,569,349.1066271,210000,0.3,1,66.2976,355.53,0,0,96.00,384,177.766,80.43,0.67,80.43,96.00,48.00,0.89,71.50,0.93,9.34,12.6,10.09,79.71,80.43,1.00,65.26,96.00,48.00,0.89,58.01,1.14,87.71,77.96,0.85,68.16,60.59,1.09,177.77,80.43,87.71,Not Applicable,79.71,80.43,68.16,Not Applicable,68.16,0.97,2.23,#VALUE!,Not Applicable,#VALUE!,#VALUE!,#VALUE!,87.19,Not Applicable,#VALUE!,#VALUE!,#VALUE!,70.36371237,79.70633365,66.2976,58.00584886,1.142946811,60.59069663,1.094187783,87.18978711
,,0.2,38.4,19.2,192,2,2,3,20,16,65,57,2,4,200,569,349.1066271,210000,0.3,1,60.2725,300.05,38.4,0.2,96.00,384,150.0265,80.43,0.73,80.43,82.43,41.22,0.76,61.39,0.98,9.34,12.6,10.09,79.71,80.43,1.00,65.26,82.43,41.22,0.76,49.81,1.21,83.35,63.61,0.95,68.16,52.03,1.16,150.03,80.43,83.35,0.88,79.71,80.43,68.16,0.88,59.98,0.88,1.88,1.00,0.90,0.98,61.35,0.98,85.47,0.90,76.92,0.78,0.98,70.36371237,79.70633365,60.2725,49.80714231,1.21011761,52.02664057,1.158493021,76.9219089
,,0.4,76.8,38.4,192,2,2,3,20,16,65,57,2,4,200,569,349.1066271,210000,0.3,1,44.8114,144.58,76.8,0.4,96.00,384,72.2875,80.43,1.05,62.15,68.86,34.43,0.64,39.62,1.13,9.34,12.6,10.09,79.71,80.43,1.00,65.26,68.86,34.43,0.64,41.61,1.08,65.99,42.08,1.06,68.16,43.46,1.03,72.29,80.43,65.99,0.69,79.71,80.43,68.16,0.69,46.94,0.66,0.91,0.95,0.69,0.96,46.83,0.96,78.44,0.69,53.89,0.83,0.96,70.36371237,79.70633365,44.8114,41.60843575,1.076978723,43.46258451,1.031033946,53.88639329
,,0.6,115.2,57.6,192,2,2,3,20,16,65,57,2,4,200,569,349.1066271,210000,0.3,1,28.3621,102.53,115.2,0.6,96.00,384,51.263,80.43,1.25,51.26,55.29,27.65,0.51,26.25,1.08,9.34,12.6,10.09,79.71,80.43,1.00,65.26,55.29,27.65,0.51,33.41,0.85,58.76,30.08,0.94,68.16,34.90,0.81,51.26,80.43,58.76,0.43,79.71,80.43,68.16,0.43,29.00,0.42,0.64,0.98,0.46,0.91,31.22,0.91,75.33,0.46,34.50,0.82,0.91,70.36371237,79.70633365,28.3621,33.4097292,0.848917387,34.89852845,0.812701889,34.50052708
,,0.8,153.6,76.8,192,2,2,3,20,16,65,57,2,4,200,569,349.1066271,210000,0.3,1,15.3184,76.56,153.6,0.8,96.00,384,38.281,80.43,1.45,38.28,41.72,20.86,0.39,14.79,1.04,9.34,12.6,10.09,79.71,80.43,1.00,65.26,41.72,20.86,0.39,25.21,0.61,53.11,20.52,0.75,68.16,26.33,0.58,38.28,80.43,53.11,0.16,79.71,80.43,68.16,0.16,11.06,0.22,0.48,1.39,0.23,0.98,15.61,0.98,72.78,0.23,16.67,0.92,0.98,70.36371237,79.70633365,15.3184,25.21102265,0.607607244,26.33447239,0.581686231,16.66740193
7,200x65x20x2.5,0,0,0,190,2.5,2.5,3.75,20,15,65,55,2.5,5,200,565,349.1066271,210000,0.3,1,91.427,697.96,0,0,76.00,475,348.979,99.50,0.53,99.50,95.00,38.00,0.70,70.02,1.31,9.34,12.6,10.09,157.32,99.50,0.80,99.50,95.00,38.00,0.70,70.02,1.31,123.63,87.00,1.05,97.97,68.95,1.33,348.98,99.50,123.63,Not Applicable,157.32,99.50,97.97,Not Applicable,97.97,0.93,2.22,#VALUE!,Not Applicable,#VALUE!,#VALUE!,#VALUE!,112.51,Not Applicable,#VALUE!,#VALUE!,#VALUE!,87.03844629,157.3151322,91.427,70.01527355,1.30581508,68.94527975,1.32608063,112.5098697
,,0.2,38,19,190,2.5,2.5,3.75,20,15,65,55,2.5,5,200,565,349.1066271,210000,0.3,1,80.5548,590.34,38,0.2,76.00,475,295.1675,99.50,0.58,99.50,81.57,32.63,0.60,60.12,1.34,9.34,12.6,10.09,157.32,99.50,0.80,99.50,81.57,32.63,0.60,60.12,1.34,118.09,71.36,1.13,97.97,59.20,1.36,295.17,99.50,118.09,0.88,157.32,99.50,97.97,0.88,86.22,0.82,1.88,0.93,0.90,0.91,88.18,0.91,110.50,0.90,99.45,0.81,0.91,87.03844629,157.3151322,80.5548,60.11912181,1.339919772,59.20036388,1.360714609,99.45235222
